r,P
0.10771486486486487,1.2693940903177397e+17
0.10869731731731731,1.257389221017679e+17
0.10967976976976977,1.245437733820614e+17
0.11066222222222222,1.233540747726075e+17
0.11164467467467468,1.221699343080171e+17
0.11262712712712712,1.2099145622599646e+17
0.11360957957957958,1.1981874103547381e+17
0.11459203203203203,1.1865188558429875e+17
0.11557448448448449,1.1749098312653067e+17
0.11655693693693693,1.16336123389253e+17
0.11753938938938939,1.151873926389172e+17
0.11852184184184184,1.1404487374714045e+17
0.1195042942942943,1.1290864625596742e+17
0.12048674674674674,1.1177878644255045e+17
0.1214691991991992,1.1065536738324138e+17
0.12245165165165164,1.0953845901704584e+17
0.1234341041041041,1.0842812820844646e+17
0.12441655655655655,1.073244388095677e+17
0.125399009009009,1.0622745172164874e+17
0.12638146146146145,1.0513722495584306e+17
0.1273639139139139,1.0405381369327979e+17
0.12834636636636637,1.0297727034442878e+17
0.12932881881881883,1.0190764460772147e+17
0.13031127127127126,1.0084498352742224e+17
0.13129372372372372,9.9789331550756e+16
0.13227617617617618,9.874073058424778e+16
0.13325862862862864,9.769922004933246e+16
0.13424108108108107,9.666483693715248e+16
0.13522353353353353,9.563761586258549e+16
0.136205985985986,9.461758911749805e+16
0.13718843843843845,9.360478672318498e+16
0.13817089089089088,9.25992364820409e+16
0.13915334334334334,9.160096402843091e+16
0.1401357957957958,9.06099928787608e+16
0.14111824824824826,8.962634448076757e+16
0.1421007007007007,8.86500382619948e+16
0.14308315315315315,8.768109167751114e+16
0.1440656056056056,8.671952025680358e+16
0.14504805805805807,8.576533764990995e+16
0.1460305105105105,8.48185556727596e+16
0.14701296296296296,8.387918435133358e+16
0.14799541541541542,8.29472319612506e+16
0.14897786786786787,8.202270506205685e+16
0.1499603203203203,8.110560853044146e+16
0.15094277277277277,8.019594559331595e+16
0.15192522522522522,7.92937178607842e+16
0.15290767767767768,7.83989253589574e+16
0.15389013013013011,7.751156656261738e+16
0.15487258258258257,7.663163842773163e+16
0.15585503503503503,7.57591364237742e+16
0.1568374874874875,7.489405456586637e+16
0.15781993993993992,7.403638544672248e+16
0.15880239239239238,7.318612026840312e+16
0.15978484484484484,7.234324887382418e+16
0.1607672972972973,7.150775977807737e+16
0.16174974974974976,7.067964019949221e+16
0.1627322022022022,6.985887609046123e+16
0.16371465465465465,6.90454521680321e+16
0.1646971071071071,6.823935194422368e+16
0.16567955955955957,6.744055775609196e+16
0.166662012012012,6.6649050795521304e+16
0.16764446446446446,6.5864811138735e+16
0.16862691691691692,6.508781777552701e+16
0.16960936936936938,6.4318048638204504e+16
0.1705918218218218,6.355548063023612e+16
0.17157427427427427,6.280008965459386e+16
0.17255672672672673,6.2051850641802984e+16
0.1735391791791792,6.131073757766264e+16
0.17452163163163162,6.057672353067338e+16
0.17550408408408408,5.984978067913119e+16
0.17648653653653654,5.912988033791153e+16
0.177468988988989,5.84169929849148e+16
0.17845144144144143,5.7711088287190184e+16
0.1794338938938939,5.701213512673172e+16
0.18041634634634635,5.632010162592889e+16
0.1813987987987988,5.56349551726932e+16
0.18238125125125124,5.495666244523474e+16
0.1833637037037037,5.42851894364988e+16
0.18434615615615615,5.362050147826668e+16
0.1853286086086086,5.296256326490183e+16
0.18631106106106105,5.231133887676108e+16
0.1872935135135135,5.166679180324686e+16
0.18827596596596596,5.102888496552149e+16
0.18925841841841842,5.0397580738864456e+16
0.19024087087087088,4.97728409746842e+16
0.1912233233233233,4.915462702219035e+16
0.19220577577577577,4.8542899749691064e+16
0.19318822822822823,4.7937619565572104e+16
0.1941706806806807,4.733874643889722e+16
0.19515313313313312,4.674623991968168e+16
0.19613558558558558,4.616005915880746e+16
0.19711803803803804,4.5580162927592824e+16
0.1981004904904905,4.500650963701196e+16
0.19908294294294293,4.443905735657577e+16
0.2000653953953954,4.3877763832862936e+16
0.20104784784784785,4.332258650770915e+16
0.2020303003003003,4.277348253605611e+16
0.20301275275275274,4.2230408803459096e+16
0.2039952052052052,4.169332194325732e+16
0.20497765765765766,4.116217835340514e+16
0.20596011011011012,4.0636934212971224e+16
0.20694256256256255,4.011754549831e+16
0.207925015015015,3.960396799889006e+16
0.20890746746746747,3.909615733280979e+16
0.20988991991991993,3.859406896197437e+16
0.21087237237237236,3.809765820695747e+16
0.21185482482482482,3.760688026154123e+16
0.21283727727727728,3.712169020693865e+16
0.21381972972972974,3.664204302569523e+16
