r,rho
0.08020619619619619,102.40453176765457
0.08118864864864865,101.62139054844386
0.0821711011011011,100.84136961207393
0.08315355355355356,100.06457403964339
0.084136006006006,99.29110269045964
0.08511845845845846,98.52104840833141
0.0861009109109109,97.75449822467607
0.08708336336336336,96.99153355833354
0.08806581581581581,96.23223041199552
0.08904826826826827,95.47665956516525
0.09003072072072071,94.7248867635759
0.09101317317317317,93.9769729050126
0.09199562562562562,93.23297422147941
0.09297807807807808,92.49294245767926
0.09396053053053052,91.75692504576631
0.09494298298298298,91.02496527635255
0.09592543543543544,90.29710246574803
0.09690788788788789,89.57337211942871
0.09789034034034035,88.85380609172563
0.09887279279279279,88.13843274174164
0.09985524524524525,87.427277085502
0.1008376976976977,86.72036094435576
0.10182015015015015,86.01770308964349
0.1028026026026026,85.31931938365835
0.10378505505505506,84.62522291692493
0.1047675075075075,83.93542414182792
0.10574995995995996,83.24993100262567
0.10673241241241241,82.56874906188489
0.10771486486486487,81.89188162337719
0.10869731731731731,81.21932985148068
0.10967976976976977,80.55109288712906
0.11066222222222222,79.88716796035737
0.11164467467467468,79.22755049949103
0.11262712712712712,78.5722342370297
0.11360957957957958,77.92121131227375
0.11459203203203203,77.27447237074887
0.11557448448448449,76.6320066604799
0.11655693693693693,75.99380212516704
0.11753938938938939,75.35984549432129
0.11852184184184184,74.73012237040963
0.1195042942942943,74.10461731306815
0.12048674674674674,73.483313920437
0.1214691991991992,72.86619490767244
0.12245165165165164,72.25324218269022
0.1234341041041041,71.64443691919561
0.12441655655655655,71.03975962705653
0.125399009009009,70.43919022006999
0.12638146146146145,69.84270808118069
0.1273639139139139,69.25029212520063
0.12834636636636637,68.66192085908698
0.12932881881881883,68.0775724398276
0.13031127127127126,67.49722472998755
0.13129372372372372,66.92085535096797
0.13227617617617618,66.34844173402726
0.13325862862862864,65.7799611691148
0.13424108108108107,65.21539085156786
0.13522353353353353,64.65470792671809
0.136205985985986,64.09788953245749
0.13718843843843845,63.54491283980907
0.13817089089089088,62.99575509155165
0.13915334334334334,62.45039363894163
0.1401357957957958,61.90880597657799
0.14111824824824826,61.37096977545566
0.1421007007007007,60.83686291424987
0.14308315315315315,60.30646350887421
0.1440656056056056,59.779749940356616
0.14504805805805807,59.25670088107204
0.1460305105105105,58.73729531937431
0.14701296296296296,58.22151258132156
0.14799541541541542,57.70933233806995
0.14897786786786787,57.200734596238284
0.1499603203203203,56.69569968538084
0.15094277277277277,56.194208245746395
0.15192522522522522,55.69624121634622
0.15290767767767768,55.201779823326085
0.15389013013013011,54.71080556863841
0.15487258258258257,54.22330021900854
0.15585503503503503,53.73924579518992
0.1568374874874875,53.25862456150493
0.15781993993993992,52.78141901566371
0.15880239239239238,52.30761187886149
0.15978484484484484,51.83718608614309
0.1607672972972973,51.37012477703641
0.16174974974974976,50.906411286445724
0.1627322022022022,50.446029135803265
