r,nu pp
0.07824129129129129,0.0030015641629086865
0.07922374374374375,0.0030296661913430927
0.08020619619619619,0.0030564522503378666
0.08118864864864865,0.0030819084188652697
0.0821711011011011,0.0031060222450860295
0.08315355355355356,0.003128782745529423
0.084136006006006,0.003150180406607921
0.08511845845845846,0.0031702071883208905
0.0861009109109109,0.0031888565299698244
0.08708336336336336,0.003206123357679131
0.08806581581581581,0.003222004093490648
0.08904826826826827,0.003236496665777052
0.09003072072072071,0.0032496005206999654
0.09101317317317317,0.0032613166344212267
0.09199562562562562,0.003271647525762788
0.09297807807807808,0.003280597268999658
0.09396053053053052,0.00328817150646311
0.09494298298298298,0.0032943774606255627
0.09592543543543544,0.003299223943261732
0.09690788788788789,0.00330272134079334
0.09789034034034035,0.0033048815664600347
0.09887279279279279,0.00330571800416596
0.09985524524524525,0.0033052454506871695
0.1008376976976977,0.003303480056530892
0.10182015015015015,0.0033004392656565593
0.1028026026026026,0.0032961417542625836
0.10378505505505506,0.0032906073688374125
0.1047675075075075,0.0032838570636667844
0.10574995995995996,0.0032759128379823794
0.10673241241241241,0.0032667976729301093
0.10771486486486487,0.0032565354685286122
0.10869731731731731,0.00324515098078107
0.10967976976976977,0.003232669759095442
0.11066222222222222,0.0032191180841602838
0.11164467467467468,0.0032045229064151673
0.11262712712712712,0.003188911785246269
0.11360957957957958,0.003172312829029756
0.11459203203203203,0.0031547546361372705
0.11557448448448449,0.0031362662370091597
0.11655693693693693,0.0031168770373937033
0.11753938938938939,0.0030966167628417363
0.11852184184184184,0.003075515404538744
0.1195042942942943,0.003053603166548261
0.12048674674674674,0.003030910414533099
0.1214691991991992,0.0030074676260131634
0.12245165165165164,0.0029833053422118846
0.1234341041041041,0.002958454121535623
0.12441655655655655,0.002932944494724232
0.125399009009009,0.00290680692170409
0.12638146146146145,0.0028800717501688
0.1273639139139139,0.0028527691759066337
0.12834636636636637,0.00282492920488828
0.12932881881881883,0.0027965816171227056
0.13031127127127126,0.0027677559322841832
0.13129372372372372,0.002738481377108122
0.13227617617617618,0.0027087868545493123
0.13325862862862864,0.002678700914691433
0.13424108108108107,0.0026482517273928325
0.13522353353353353,0.002617467056649839
0.136205985985986,0.0025863742366552703
0.13718843843843845,0.0025550001495266658
0.13817089089089088,0.0025233712046758196
0.13915334334334334,0.002491513319788447
0.1401357957957958,0.0024594519033803493
0.14111824824824826,0.0024272118388942933
0.1421007007007007,0.002394817470299858
0.14308315315315315,0.0023622925891566412
0.1440656056056056,0.002329660423099838
0.14504805805805807,0.002296943625705727
0.1460305105105105,0.002264164267693615
0.14701296296296296,0.002231343829400868
