r,nu pep
0.14701296296296296,0.0017900532110223047
0.14799541541541542,0.0017515542941148226
0.14897786786786787,0.0017134599699133554
0.1499603203203203,0.0016757841176545112
0.15094277277277277,0.0016385396861805705
0.15192522522522522,0.0016017387132334126
0.15290767767767768,0.0015653923455004198
0.15389013013013011,0.0015295108593309538
0.15487258258258257,0.0014941036820445676
0.15585503503503503,0.0014591794137551707
0.1568374874874875,0.0014247458496381706
0.15781993993993992,0.0013908100025706383
0.15880239239239238,0.0013573781260774488
0.15978484484484484,0.0013244557375194136
0.1607672972972973,0.0012920476414624274
0.16174974974974976,0.0012601579531695412
0.1627322022022022,0.0012287901221609832
0.16371465465465465,0.0011979469557900264
0.1646971071071071,0.0011676306427855407
0.16567955955955957,0.0011378427767149096
0.166662012012012,0.0011085843793239099
