r,nu hep
0.14701296296296296,0.0025921017154190104
0.14799541541541542,0.002576406481167978
0.14897786786786787,0.0025602663527728507
0.1499603203203203,0.0025437017133186413
0.15094277277277277,0.002526733201212365
0.15192522522522522,0.0025093812276019527
0.15290767767767768,0.002491665513050902
0.15389013013013011,0.0024736046448545373
0.15487258258258257,0.0024552156561896813
0.15585503503503503,0.0024365136281155704
0.1568374874874875,0.0024175113153002115
0.15781993993993992,0.0023982187962406517
0.15880239239239238,0.0023786431487619187
0.15978484484484484,0.0023587882344407096
0.1607672972972973,0.002338655379932146
0.16174974974974976,0.002318245223825753
0.1627322022022022,0.002297559716514155
0.16371465465465465,0.0022766040173429645
0.1646971071071071,0.0022553882813858466
0.16567955955955957,0.0022339293313649814
0.166662012012012,0.0022122521947612237
