r,l
0.11753938938938939,0.5781113950477472
0.11852184184184184,0.5852186667508588
0.1195042942942943,0.592270264541928
0.12048674674674674,0.5992647737095356
0.1214691991991992,0.6062008371129269
0.12245165165165164,0.6130771543113389
0.1234341041041041,0.6198924807044378
0.12441655655655655,0.626645626689142
0.125399009009009,0.6333354568377559
0.12638146146146145,0.6399608891020034
0.1273639139139139,0.6465208940472197
0.12834636636636637,0.6530144941206228
0.12932881881881883,0.6594407629572748
0.13031127127127126,0.6657988247270117
0.13129372372372372,0.6720878535253337
0.13227617617617618,0.6783070728109237
0.13325862862862864,0.6844557548921982
0.13424108108108107,0.6905332204649864
0.13522353353353353,0.6965388382031839
0.136205985985986,0.7024720244039494
0.13718843843843845,0.708332242688773
0.13817089089089088,0.7141190037614947
0.13915334334334334,0.7198318652241276
0.1401357957957958,0.7254704314511159
0.14111824824824826,0.7310343535224558
0.1421007007007007,0.7365233292159046
0.14308315315315315,0.7419371030583192
0.1440656056056056,0.747275466435993
0.14504805805805807,0.7525382577636981
0.1460305105105105,0.7577253627118894
0.14701296296296296,0.7628367144237105
0.14799541541541542,0.767872293125777
0.14897786786786787,0.7728321249185218
0.1499603203203203,0.7777162804020529
0.15094277277277277,0.7825248732931638
0.15192522522522522,0.787258059037392
0.15290767767767768,0.791916033418474
0.15389013013013011,0.7964990311674425
0.15487258258258257,0.8010073245735123
0.15585503503503503,0.8054412220987969
0.1568374874874875,0.8098010669987944
0.15781993993993992,0.8140872359504856
0.15880239239239238,0.8183001376897816
0.15978484484484484,0.8224402116599638
0.1607672972972973,0.8265079266726626
0.16174974974974976,0.8305037795828221
0.1627322022022022,0.8344282939790112
0.16371465465465465,0.8382820188903426
0.1646971071071071,0.8420655275111785
0.16567955955955957,0.8457794159447118
0.166662012012012,0.8494243019664275
0.16764446446446446,0.8530008238083654
0.16862691691691692,0.8565096389650286
0.16960936936936938,0.8599514230217014
0.1705918218218218,0.8633268685058683
0.17157427427427427,0.8666366837623521
0.17255672672672673,0.8698815918527194
0.1735391791791792,0.8730623294794357
0.17452163163163162,0.8761796459351903
0.17550408408408408,0.8792343020777433
0.17648653653653654,0.8822270693305957
0.177468988988989,0.8851587287097216
0.17845144144144143,0.8880300698765518
0.1794338938938939,0.8908418902173448
0.18041634634634635,0.8935949939490323
0.1813987987987988,0.8962901912515828
0.18238125125125124,0.8989282974268813
0.1833637037037037,0.9015101320840838
0.18434615615615615,0.9040365183513628
0.1853286086086086,0.9065082821139299
0.18631106106106105,0.9089262512781818
0.1872935135135135,0.9112912550617872
0.18827596596596596,0.913604123309501
0.18925841841841842,0.9158656858344659
0.19024087087087088,0.9180767717847347
0.1912233233233233,0.9202382090347233
0.19220577577577577,0.9223508236012841
0.19318822822822823,0.924415439084065
0.1941706806806807,0.9264328761298087
0.19515313313313312,0.9284039519202231
0.19613558558558558,0.9303294796830421
0.19711803803803804,0.9322102682258842
0.1981004904904905,0.9340471214925007
0.19908294294294293,0.935840838140999
0.2000653953953954,0.9375922111436146
0.20104784784784785,0.939302027407598
0.2020303003003003,0.9409710674167794
0.20301275275275274,0.9426001048933627
0.2039952052052052,0.9441899064795032
0.20497765765765766,0.9457412314382151
0.20596011011011012,0.9472548313731537
0.20694256256256255,0.9487314499668185
0.207925015015015,0.9501718227367197
0.20890746746746747,0.9515766768090544
0.20988991991991993,0.9529467307094354
0.21087237237237236,0.9542826941702235
0.21185482482482482,0.9555852679540124
0.21283727727727728,0.9568551436928189
0.21381972972972974,0.9580930037425369
0.21480218218218217,0.9592995210522178
0.21578463463463463,0.9604753590477425
0.21676708708708708,0.9616211715294577
0.21774953953953954,0.9627376025833545
0.21873199199199198,0.9638252865053737
0.21971444444444443,0.9648848477385593
0.2206968968968969,0.9659169008233048
0.22167934934934935,0.9669220503601944
0.2226618018018018,0.967900890984459
0.22364425425425424,0.96885400735159
0.2246267067067067,0.9697819741337336
0.22560915915915916,0.9706853560264995
0.22659161161161162,0.9715647077658269
0.22757406406406405,0.9724205741545543
0.2285565165165165,0.9732534900983533
0.22953896896896897,0.9740639806506899
0.23052142142142143,0.9748525610664882
0.23150387387387386,0.9756197368641791
0.23248632632632632,0.976366003895822
0.23346877877877878,0.9770918484250013
0.23445123123123124,0.9777977472122023
0.23543368368368367,0.9784841676073808
0.23641613613613613,0.9791515676494529
0.2373985885885886,0.9798003961724313
0.23838104104104105,0.9804310929179513
0.23936349349349348,0.9810440886539297
0.24034594594594594,0.9816398052991151
0.2413283983983984,0.9822186560532881
0.24231085085085086,0.9827810455328834
0.2432933033033033,0.9833273699118106
0.24427575575575575,0.9838580170672574
0.2452582082082082,0.9843733667302683
0.24624066066066067,0.9848737906408952
0.2472231131131131,0.985359652707728
0.24820556556556556,0.9858313091716151
0.24918801801801801,0.986289108773394
0.2501704704704705,0.9867333929254573
0.2511529229229229,0.9871644958869835
0.2521353753753754,0.9875827449426742
0.2531178278278278,0.9879884605848362
0.25410028028028026,0.9883819566986634
0.25508273273273274,0.9887635407505682
0.2560651851851852,0.9891335139794274
0.25704763763763766,0.9894921715906064
0.2580300900900901,0.9898398029526329
0.2590125425425425,0.9901766917963967
0.259994994994995,0.9905031164166926
0.26097744744744744,0.9908193498637152
0.2619598998998999,0.9911256600555726
0.26294235235235236,0.9914223098164985
0.2639248048048048,0.9917095569068275
0.2649072572572573,0.9919876540545545
0.2658897097097097,0.9922568489884512
0.26687216216216214,0.992517384472683
0.26785461461461463,0.9927694983428649
0.26883706706706706,0.9930134235435057
0.2698195195195195,0.9932493881667821
0.270801971971972,0.9934776154925932
0.2717844244244244,0.9936983240298434
0.2727668768768769,0.9939117275589041
0.2737493293293293,0.9941180351752075
0.27473178178178176,0.9943174513339237
0.27571423423423425,0.9945101758956801
0.2766966866866867,0.994696404173275
0.2776791391391391,0.9948763269793468
0.2786615915915916,0.9950501306749571
0.279644044044044,0.9952179972190467
0.2806264964964965,0.9953801042187294
0.28160894894894895,0.9955366249803841
0.2825914014014014,0.9956877285615118
0.28357385385385386,0.9958335798233214
0.2845563063063063,0.9959743394840131
0.2855387587587588,0.9961101641727266
0.2865212112112112,0.9962412064841223
0.28750366366366364,0.9963676150335696
0.28848611611611613,0.9964895345129094
0.28946856856856856,0.9966071057467661
0.290451021021021,0.9967204657493832
0.2914334734734735,0.9968297477819549
0.2924159259259259,0.9969350814104317
0.2933983783783784,0.997036592563776
0.29438083083083083,0.9971344035926439
0.29536328328328326,0.9972286333284748
0.29634573573573575,0.9973193971429651
0.2973281881881882,0.9974068070079084
0.2983106406406406,0.9974909715553821
0.2992930930930931,0.9975719961382636
0.30027554554554553,0.9976499828910577
0.301257997997998,0.9977250307910187
0.30224045045045045,0.9977972357195533
0.3032229029029029,0.9978666905238861
0.30420535535535537,0.9979334850789766
0.3051878078078078,0.997997706349672
0.30617026026026023,0.9980594384530823
0.3071527127127127,0.998118762721168
0.30813516516516515,0.9981757577635253
0.30911761761761763,0.9982304995303599
0.31010007007007007,0.998283061375637
0.3110825225225225,0.9983335141203992
0.312064974974975,0.9983819261162399
0.3130474274274274,0.9984283633089266
0.31402987987987985,0.9984728893021615
0.31501233233233233,0.9985155654214746
0.31599478478478477,0.9985564507782382
0.31697723723723725,0.998595602333799
0.3179596896896897,0.9986330749637167
0.3189421421421421,0.998668921522106
0.3199245945945946,0.9987031929060737
0.32090704704704703,0.9987359381202451
0.3218894994994995,0.9987672043413743
0.32287195195195195,0.9987970369830341
0.3238544044044044,0.9988254797603779
0.32483685685685687,0.9988525747549717
0.3258193093093093,0.9988783624796893
0.32680176176176173,0.9989028819436684
0.3277842142142142,0.998926170717322
0.32876666666666665,0.9989482649974025
