Beta,PDF,Best Fit,err_beta_min,err_beta_max,-1sigma,+1sigma
28.542713567839193,0.8752113126080416,,,,,
28.693467336683415,0.8693745845105587,,,,,
28.844221105527637,0.8635094104064264,,,,,
28.994974874371856,0.8576206684321741,,,,,
29.145728643216078,0.8517129792574972,,,,,
29.2964824120603,0.8457907165505197,,,,,
29.44723618090452,0.8398580171632498,,,,,
29.597989949748744,0.8339187910307116,,,,,
29.748743718592962,0.8279767307786843,,,,,
29.899497487437184,0.8220353210381787,,,,,
30.050251256281406,0.8160978474644971,,,,,
30.201005025125625,0.8101674054614291,,,,,
30.351758793969847,0.8042469086120735,,,,,
30.50251256281407,0.7983390968182509,,,,,
30.65326633165829,0.7924465441523038,,,,,
30.804020100502512,0.7865716664247207,,,,,
30.95477386934673,0.7807167284730422,,,,,
31.105527638190953,0.7748838511765324,,,,,
